,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-12-24,131.97,131.97,131.97,131.97,131.97,54213606
1,2020-12-24,131.97,131.97,131.97,131.97,131.97,54213606
2,2020-12-24,132.0059,132.0059,131.97,131.97,131.97,54213606
3,2020-12-24,131.945,132.0059,131.72,132.0059,132.0059,52664193
4,2020-12-24,132.3005,132.34,131.66,131.81,131.81,42367856
5,2020-12-24,132.84,133.4521,132.61,132.61,132.61,32052149
6,2020-12-24,130.96,133.17,130.96,132.51,132.51,15850943
7,2020-12-23,131.6008,131.862,130.95,130.95,130.95,75921881
8,2020-12-23,131.84,131.8893,131.58,131.735,131.735,63443891
9,2020-12-23,131.975,132.24,131.84,132.0592,132.0592,57408533
10,2020-12-23,131.85,131.975,131.85,131.975,131.975,51158375
11,2020-12-23,131.6112,131.68,131.3895,131.54,131.54,43026321
12,2020-12-23,131.85,131.925,131.18,131.47,131.47,32901499
13,2020-12-23,131.88,132.3234,130.87,132.23,132.23,19413556
14,2020-12-22,131.6859,131.85,131.24,131.83,131.83,159341529
15,2020-12-22,132.36,132.6093,131.9209,132.06,132.06,143588826
16,2020-12-22,132.25,133.12,132.246,132.7693,132.7693,132058947
17,2020-12-22,131.485,132.3,131.075,131.955,131.955,118621328
18,2020-12-22,130.2999,131.485,130.21,131.485,131.485,101933211
19,2020-12-22,132.935,133.41,132.358,132.8495,132.8495,77228679
20,2020-12-22,128.23,134.19,128.23,134.1799,134.1799,44963562
21,2020-12-21,126.705,128.22,126.705,128.22,128.22,100051202
22,2020-12-21,126.615,127.0316,126.615,126.7299,126.7299,77755345
23,2020-12-21,125.88,127.2508,125.8601,126.7447,126.7447,69202855
24,2020-12-21,124.965,126.015,124.965,125.97,125.97,58447980
25,2020-12-21,125.06,125.15,124.88,124.965,124.965,50027110
26,2020-12-21,123.95,124.3,123.455,123.82,123.82,38651783
27,2020-12-21,126.655,126.655,124.79,125.88,125.88,17735262
28,2020-12-18,126.65,126.94,126.13,126.94,126.94,108736763
29,2020-12-18,126.6853,126.73899999999999,126.4438,126.65,126.65,84425091
30,2020-12-18,126.7415,127.0092,126.7415,126.805,126.805,70718560
31,2020-12-18,127.67,127.8469,127.58,127.68,127.68,59053204
32,2020-12-18,127.52,127.79,127.23899999999999,127.385,127.385,51614023
33,2020-12-18,127.63,127.91,127.12299999999999,127.73,127.73,41628384
34,2020-12-18,127.48,127.86,127.475,127.63,127.63,28817911
35,2020-12-17,128.465,128.82,128.275,128.68,128.68,76351835
36,2020-12-17,128.5108,128.5108,128.465,128.465,128.465,65302035
37,2020-12-17,128.48,128.65,128.415,128.42,128.42,57162840
38,2020-12-17,128.3508,128.52,128.16,128.48,128.48,50953515
39,2020-12-17,128.775,128.84,128.05,128.3758,128.3758,42532712
40,2020-12-17,128.555,129.19,128.233,128.765,128.765,32781307
41,2020-12-17,127.81,129.51,127.81,128.95,128.95,18106491
42,2020-12-16,127.8,128.36,127.7362,127.75,127.75,84324677
43,2020-12-16,127.6708,128.2038,127.3,128.0993,128.0993,67471068
44,2020-12-16,127.6808,127.6808,127.665,127.6708,127.6708,57089155
45,2020-12-16,127.625,127.795,127.43,127.7662,127.7662,50121511
46,2020-12-16,127.0358,127.82,127.005,127.7708,127.7708,41957260
47,2020-12-16,127.31,127.42,126.8362,126.9687,126.9687,31489674
48,2020-12-16,127.88,127.88,126.594,127.33,127.33,16885815
49,2020-12-15,127.542,127.85,127.265,127.84,127.84,140081118
50,2020-12-15,126.64,127.5,126.585,127.24,127.24,119688540
51,2020-12-15,126.5861,126.978,126.35,126.73,126.73,102731548
52,2020-12-15,126.6308,126.78,126.5201,126.5861,126.5861,88365991
53,2020-12-15,125.97,126.235,125.605,125.851,125.851,70518899
54,2020-12-15,125.9,126.1,125.32,125.95,125.95,54142732
55,2020-12-15,121.78,126.935,121.78,126.3806,126.3806,33420225
56,2020-12-14,122.4,122.45,121.76,121.78,121.78,64285068
57,2020-12-14,122.41,122.53,121.8816,122.25200000000001,122.25200000000001,52986346
58,2020-12-14,122.375,122.62,122.13,122.4059,122.4059,44945420
59,2020-12-14,122.6759,122.69,122.31,122.375,122.375,38440649
60,2020-12-14,122.83,122.975,122.69,122.925,122.925,29822286
61,2020-12-14,122.99,123.08,122.4901,122.8513,122.8513,22088725
62,2020-12-14,122.41,123.33,122.41,122.89,122.89,10857006
63,2020-12-11,122.1834,122.3692,122.16,122.31,122.31,73833188
64,2020-12-11,122.11,122.15,121.835,121.97,121.97,61194446
65,2020-12-11,121.3699,121.8148,121.35,121.705,121.705,52188924
66,2020-12-11,120.985,121.44,120.56,121.415,121.415,44181819
67,2020-12-11,121.51,121.6789,120.8084,120.95,120.95,35920522
68,2020-12-11,121.47,121.9901,121.17,121.2903,121.2903,26769169
69,2020-12-11,121.21,121.51,121.1,121.47,121.47,15476537
70,2020-12-10,122.805,123.57,122.7525,123.35,123.35,69964695
71,2020-12-10,122.82,122.87,122.775,122.805,122.805,58290164
72,2020-12-10,123.24,123.555,123.1708,123.475,123.475,51738022
73,2020-12-10,123.215,123.4,122.7197,122.805,122.805,45573657
74,2020-12-10,123.3001,123.8608,123.17,123.3361,123.3361,37882218
75,2020-12-10,122.385,123.54,122.10700000000001,123.45,123.45,28306552
76,2020-12-10,122.2615,122.46,122.245,122.385,122.385,14532442
77,2020-12-09,121.94,122.18,121.0824,121.86,121.86,97842687
78,2020-12-09,121.7,122.24,121.115,121.6593,121.6593,80302546
79,2020-12-09,122.15,122.18,121.686,121.7,121.7,67848223
80,2020-12-09,123.7617,123.7999,122.905,123.6099,123.6099,52959147
