,date,open,low,high,close,volume
0,2020-12-24 16:00:00,131.97,131.97,131.97,131.97,54213606
1,2020-12-24 15:00:00,131.97,131.97,131.97,131.97,54213606
2,2020-12-24 14:00:00,132.0059,131.97,132.0059,131.97,54213606
3,2020-12-24 13:00:00,131.945,131.72,132.0059,132.0059,52664193
4,2020-12-24 12:00:00,132.3005,131.66,132.34,131.81,42367856
5,2020-12-24 11:00:00,132.84,132.61,133.4521,132.61,32052149
6,2020-12-24 10:00:00,130.96,130.96,133.17,132.51,15850943
7,2020-12-23 16:00:00,131.6008,130.95,131.862,130.95,75921881
8,2020-12-23 15:00:00,131.84,131.58,131.8893,131.735,63443891
9,2020-12-23 14:00:00,131.975,131.84,132.24,132.0592,57408533
10,2020-12-23 13:00:00,131.85,131.85,131.975,131.975,51158375
11,2020-12-23 12:00:00,131.6112,131.3895,131.68,131.54,43026321
12,2020-12-23 11:00:00,131.85,131.18,131.925,131.47,32901499
13,2020-12-23 10:00:00,131.88,130.87,132.3234,132.23,19413556
14,2020-12-22 16:00:00,131.6859,131.24,131.85,131.83,159341529
15,2020-12-22 15:00:00,132.36,131.9209,132.6093,132.06,143588826
16,2020-12-22 14:00:00,132.25,132.246,133.12,132.7693,132058947
17,2020-12-22 13:00:00,131.485,131.075,132.3,131.955,118621328
18,2020-12-22 12:00:00,130.2999,130.21,131.485,131.485,101933211
19,2020-12-22 11:00:00,132.935,132.358,133.41,132.8495,77228679
20,2020-12-22 10:00:00,128.23,128.23,134.19,134.1799,44963562
21,2020-12-21 16:00:00,126.705,126.705,128.22,128.22,100051202
22,2020-12-21 15:00:00,126.615,126.615,127.0316,126.7299,77755345
23,2020-12-21 14:00:00,125.88,125.8601,127.2508,126.7447,69202855
24,2020-12-21 13:00:00,124.965,124.965,126.015,125.97,58447980
25,2020-12-21 12:00:00,125.06,124.88,125.15,124.965,50027110
26,2020-12-21 11:00:00,123.95,123.455,124.3,123.82,38651783
27,2020-12-21 10:00:00,126.655,124.79,126.655,125.88,17735262
28,2020-12-18 16:00:00,126.65,126.13,126.94,126.94,108736763
29,2020-12-18 15:00:00,126.6853,126.4438,126.739,126.65,84425091
30,2020-12-18 14:00:00,126.7415,126.7415,127.0092,126.805,70718560
31,2020-12-18 13:00:00,127.67,127.58,127.8469,127.68,59053204
32,2020-12-18 12:00:00,127.52,127.239,127.79,127.385,51614023
